player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Joe Worrall,Burnley,D,0,0.0,6,5,26.31578947,19,106,125,80.64516129,21,50.0,21,11,0,10,0,0,0,0,60,0,2,27,0,0,0.02442092,0.08,4,0,0.0,0,0,11,10,1,0,0,,4,40.0,0,0,0,30,5,0,0,5,517,0,0,0,0,0,0.0,0,0,0,0,37,0,0,6.57,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0.0,4,3,75.0,0,0,0,25,48.07692308,19,43,112,155,1,0,253,1,0
Lucas Pires,Burnley,D,6,12.76595745,107,11,30.55555556,204,160,364,82.91571754,3,25.0,9,15,0,69,1,0,4,1,30,8,18,53,0,0,1.21544745,0.3182,11,0,0.0,0,0,24,20,4,0,0,,38,46.34146341,0,0,1,75,15,16,0,12,1103,5,0,0,0,0,0.0,0,0,0,0,172,5,0,6.56,1,0,0,0,0,0,0,0.0,0.0,0,6,5,6,1,11,61.11111111,24,19,79.16666667,16,18,47,41,43.61702128,36,256,183,439,11,0,742,3,0
Axel Tuanzebe,Burnley,D,0,0.0,27,17,32.0754717,110,264,374,84.04494382,19,48.71794872,20,11,0,29,0,0,0,1,67,0,5,35,0,2,0.13002825,0.606,10,0,50.0,1,1,22,22,0,1,0,,14,48.27586207,0,0,0,71,8,0,0,11,932,1,1,0,0,1,0.0,0,0,0,0,74,0,0,6.527272727,0,1,0,0,0,0,0,932.0,0.0,0,2,0,1,1,0,0.0,12,6,50.0,0,0,1,33,48.52941176,53,153,292,445,2,0,569,2,1
Quilindschy Hartman,Burnley,D,11,15.49295775,100,26,33.76623377,200,246,446,76.76419966,10,37.03703704,17,17,4,55,5,0,1,2,56,5,7,46,1,0,1.74547849,0.2055,10,0,0.0,0,4,31,31,0,0,0,,42,59.15492958,0,0,0,135,23,19,0,17,1503,1,0,0,0,0,0.0,0,0,0,0,259,0,0,6.458823529,0,0,0,0,0,0,0,0.0,0.0,0,2,5,3,3,3,30.0,36,22,61.11111111,19,10,71,52,53.06122449,77,300,281,581,7,0,965,3,1
Emmanuel Agbadou,Wolverhampton,D,4,28.57142857,74,50,42.73504274,197,350,547,83.00455235,26,63.41463415,15,14,0,66,0,0,3,0,65,5,7,38,2,0,0.39670705,0.5605,10,0,0.0,0,0,27,22,5,0,0,,41,64.0625,0,0,0,112,13,4,0,12,1101,0,0,0,0,0,0.0,0,0,0,0,147,1,0,6.85,1,0,0,0,0,0,0,0.0,0.0,1,6,4,4,3,4,80.0,32,20,62.5,4,5,14,67,63.80952381,117,283,376,659,10,1,872,5,1
Santiago Bueno,Wolverhampton,D,2,40.0,61,44,47.82608696,242,494,736,87.10059172,37,54.41176471,31,22,1,50,0,0,1,4,84,3,10,65,0,1,1.03095708,1.6807,21,0,33.33333333,2,3,33,29,4,2,0,,50,59.52380952,0,0,0,109,20,7,0,21,1923,1,0,0,0,0,0.0,0,0,0,1,128,0,0,6.790909091,0,2,0,0,0,0,0,961.5,0.0,0,6,0,0,5,0,0.0,41,21,51.2195122,7,1,5,87,57.23684211,92,313,532,845,6,0,1097,9,4
Pedro Lima,Wolverhampton,D,0,0.0,2,0,0.0,2,1,3,75.0,0,0.0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0.0011857,,0,0,0.0,0,0,1,1,0,0,0,,0,0.0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0,0,0,0,0,2,0,0,6.7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,1,0,0.0,0,3,1,4,0,0,6,0,0
Hugo Bueno,Wolverhampton,D,48,34.04255319,144,22,35.48387097,257,307,564,80.91822095,16,47.05882353,18,28,1,100,4,0,1,3,53,27,26,123,0,2,2.88959082,0.4961,14,0,10.0,1,2,33,27,6,0,1,,102,49.27536232,0,0,0,133,33,31,1,21,1957,2,0,0,0,0,0.0,0,0,0,0,350,5,0,6.696428571,0,0,0,0,0,0,0,1957.0,0.0,0,5,5,4,5,26,40.0,56,33,58.92857143,31,65,141,118,48.9626556,62,328,369,697,10,1,1396,20,1
Yerson Mosquera,Wolverhampton,D,2,11.11111111,68,20,30.3030303,182,340,522,80.80495356,34,43.03797468,45,22,0,78,1,2,7,4,91,4,14,97,0,1,0.52376183,1.5759,25,0,0.0,0,0,31,27,4,0,0,,91,63.63636364,0,0,3,124,19,10,0,19,1711,1,2,0,0,2,0.0,0,0,0,0,240,0,0,6.685714286,0,0,0,0,0,0,0,0.0,0.0,0,20,1,8,6,7,38.88888889,51,33,64.70588235,10,18,18,125,56.30630631,66,253,393,646,21,1,1123,35,9
Ladislav Krej?í,Wolverhampton,D,2,18.18181818,130,80,45.71428571,327,615,942,83.2155477,53,54.08163265,45,24,1,63,1,2,4,3,104,6,12,92,1,3,1.33883534,1.9986,30,0,12.5,2,3,37,30,7,2,0,,29,38.15789474,1,0,0,190,28,7,1,23,2040,0,1,0,0,0,0.0,0,0,0,0,224,0,0,6.675,1,0,0,0,0,0,0,1020.0,0.0,0,15,1,4,8,1,50.0,22,15,68.18181818,7,2,11,82,47.12643678,175,460,672,1132,16,0,1410,7,3
Ki-Jana Hoever,Wolverhampton,D,7,31.81818182,31,9,32.14285714,64,42,106,68.83116883,6,50.0,6,8,0,16,2,0,0,0,20,3,3,18,0,0,0.36294271,0.0209,3,0,0.0,0,0,13,11,2,0,0,,21,63.63636364,0,0,0,48,6,5,0,6,428,1,0,0,0,0,0.0,0,0,0,0,78,3,0,6.6375,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,5,62.5,13,11,84.61538462,5,8,22,27,60.0,28,104,50,154,1,0,283,3,0
